epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,4662.2,0.68277,0.9042,0.82758,0.99109,0.41564,0.53269,0.46238,0.40683,0.42941,0.56603,0.36618,0.23316,1.27711,1.51676,2.19169,1.52817,0.000393625,0.000393625,0.000393625
51,4754.76,0.66532,0.95889,0.77277,0.98891,0.48449,0.36667,0.42842,0.36622,0.48449,0.36667,0.38333,0.25803,1.33349,1.50588,2.20014,1.53956,0.00038125,0.00038125,0.00038125
52,4848.02,0.67399,0.91448,0.77559,0.9641,0.57328,0.36667,0.46259,0.39853,0.57328,0.36667,0.41508,0.29669,1.2112,1.63054,2.08231,1.43964,0.000368875,0.000368875,0.000368875
53,4940.09,0.66691,0.83267,0.75361,0.96727,0.50148,0.36667,0.39426,0.3292,0.54309,0.3643,0.36194,0.26984,1.29847,1.81211,2.23149,1.5133,0.0003565,0.0003565,0.0003565
54,5032.95,0.59985,0.73703,0.71428,0.95884,0.50148,0.36667,0.39426,0.3292,0.54309,0.3643,0.36194,0.26984,1.29847,1.81211,2.23149,1.5133,0.000344125,0.000344125,0.000344125
55,5125.45,0.65982,0.98466,0.74661,0.99606,0.89558,0.3,0.36452,0.29718,0.89558,0.3,0.33928,0.23982,1.31063,1.91243,2.43384,1.54891,0.00033175,0.00033175,0.00033175
56,5218.22,0.60586,0.79515,0.71829,0.96069,0.69025,0.30405,0.35417,0.28322,0.68678,0.3,0.3236,0.22659,1.26401,1.83392,2.43998,1.52742,0.000319375,0.000319375,0.000319375
57,5310.49,0.61004,0.78454,0.68916,0.94935,0.70811,0.3,0.34932,0.28903,0.70811,0.3,0.32578,0.22319,1.24664,1.80483,2.47594,1.53427,0.000307,0.000307,0.000307
58,5403.01,0.61918,0.85451,0.72521,0.98808,0.49225,0.3,0.34845,0.29349,0.49225,0.3,0.32829,0.2273,1.27781,1.81048,2.50052,1.56619,0.000294625,0.000294625,0.000294625
59,5494.26,0.61936,0.78707,0.76329,0.96167,0.43483,0.52728,0.37389,0.31543,0.45583,0.3,0.33821,0.2311,1.25566,1.77761,2.48499,1.60159,0.00028225,0.00028225,0.00028225
60,5586.23,0.5806,0.76539,0.70071,0.93616,0.47993,0.63333,0.37438,0.32443,0.44778,0.56667,0.3382,0.22872,1.23251,1.73507,2.51423,1.56694,0.000269875,0.000269875,0.000269875
61,5679.76,0.56734,0.77774,0.67498,0.95477,0.47826,0.63333,0.40781,0.35083,0.43776,0.56667,0.35851,0.22739,1.21622,1.68331,2.52094,1.45586,0.0002575,0.0002575,0.0002575
62,5772.99,0.60296,0.72762,0.65933,0.9765,0.47826,0.63333,0.40781,0.35083,0.43776,0.56667,0.35851,0.22739,1.21622,1.68331,2.52094,1.45586,0.000245125,0.000245125,0.000245125
63,5865.38,0.55252,0.69833,0.61661,0.9376,0.4487,0.63333,0.51026,0.41798,0.41461,0.56667,0.47495,0.26174,1.24682,1.63919,2.33438,1.42776,0.00023275,0.00023275,0.00023275
64,5957.65,0.58338,0.83389,0.64217,0.94683,0.41666,0.63333,0.53952,0.41193,0.39458,0.56667,0.38145,0.2581,1.20797,1.62237,2.13906,1.38595,0.000220375,0.000220375,0.000220375
65,6049.9,0.58957,0.73346,0.61101,0.939,0.41179,0.66667,0.53421,0.40883,0.38867,0.6,0.3774,0.26395,1.17688,1.63782,2.10121,1.34617,0.000208,0.000208,0.000208
66,6141.92,0.57403,0.85614,0.68522,0.94499,0.41226,0.65523,0.45793,0.34554,0.63304,0.16667,0.31249,0.20637,1.13586,1.66011,2.03056,1.34402,0.000195625,0.000195625,0.000195625
67,6235.19,0.58371,0.65586,0.60233,0.94053,0.39475,0.46667,0.56224,0.45324,0.37884,0.4,0.42878,0.29527,1.1109,1.654,1.96719,1.33379,0.00018325,0.00018325,0.00018325
68,6327.62,0.51785,0.74415,0.58405,0.90598,0.51582,0.43333,0.54734,0.44549,0.48954,0.36667,0.42463,0.29235,1.0869,1.66306,1.91942,1.31843,0.000170875,0.000170875,0.000170875
69,6419.37,0.55272,0.62361,0.59803,0.94599,0.53254,0.46667,0.55114,0.43721,0.50683,0.4,0.42854,0.28512,1.05668,1.68854,1.88683,1.30141,0.0001585,0.0001585,0.0001585
70,6512.36,0.56428,0.71016,0.59975,0.93254,0.53254,0.46667,0.55114,0.43721,0.50683,0.4,0.42854,0.28512,1.05668,1.68854,1.88683,1.30141,0.000146125,0.000146125,0.000146125
71,6582.15,0.45832,0.51626,0.62335,0.88861,0.48812,0.46667,0.54593,0.45429,0.46591,0.4,0.52942,0.29721,1.03523,1.67588,1.87767,1.27416,0.00013375,0.00013375,0.00013375
72,6646.86,0.42795,0.44806,0.548,0.91913,0.45241,0.46667,0.53781,0.4562,0.43486,0.4,0.52409,0.30194,1.09373,1.70459,1.92273,1.36879,0.000121375,0.000121375,0.000121375
73,6718.43,0.47709,0.48604,0.56414,0.95345,0.42306,0.46667,0.49363,0.43695,0.3922,0.36667,0.44427,0.29006,1.14086,1.72559,1.89211,1.43727,0.000109,0.000109,0.000109
74,6792.26,0.45338,0.53135,0.49367,0.89251,0.41777,0.46667,0.44665,0.38423,0.38692,0.36667,0.39422,0.25979,1.17792,1.74916,1.84937,1.44716,9.6625e-05,9.6625e-05,9.6625e-05
75,6901.43,0.42309,0.44783,0.50223,0.90876,0.4402,0.46667,0.46543,0.39976,0.40758,0.36667,0.41346,0.28588,1.22205,1.74743,1.86056,1.49053,8.425e-05,8.425e-05,8.425e-05
76,6990.19,0.43036,0.46032,0.47835,0.89394,0.46881,0.46667,0.46542,0.39992,0.43091,0.36667,0.41346,0.28587,1.21984,1.74217,1.92051,1.47441,7.1875e-05,7.1875e-05,7.1875e-05
77,7087.51,0.43178,0.45175,0.46068,0.92575,0.46585,0.46667,0.45731,0.39286,0.42882,0.36667,0.4067,0.28633,1.14685,1.73883,1.90258,1.41579,5.95e-05,5.95e-05,5.95e-05
78,7177.36,0.41185,0.42451,0.44935,0.89767,0.46585,0.46667,0.45731,0.39286,0.42882,0.36667,0.4067,0.28633,1.14685,1.73883,1.90258,1.41579,4.7125e-05,4.7125e-05,4.7125e-05
79,7281.46,0.4326,0.4516,0.45362,0.87563,0.46727,0.46667,0.46453,0.40138,0.40699,0.36667,0.41411,0.28901,1.07425,1.6921,1.87081,1.33677,3.475e-05,3.475e-05,3.475e-05
80,7375.48,0.43431,0.4765,0.46023,0.87937,0.47685,0.46667,0.46685,0.40068,0.40576,0.36667,0.41624,0.29014,1.10881,1.73989,1.8764,1.37927,2.2375e-05,2.2375e-05,2.2375e-05
